split,model,train_size,test_size,train_label_distribution,test_label_distribution,seconds,accuracy,precision,recall,f1,roc_auc
random,TF-IDF Word LR,4484,961,0=0.493; 1=0.507,0=0.493; 1=0.507,0.13,0.5171696149843913,0.5241090146750524,0.5133470225872689,0.5186721991701245,0.5391941534755976
random,TF-IDF Char LR,4484,961,0=0.493; 1=0.507,0=0.493; 1=0.507,0.72,0.4953173777315297,0.502092050209205,0.4928131416837782,0.49740932642487046,0.5061428361015085
random,TF-IDF Word SVM,4484,961,0=0.493; 1=0.507,0=0.493; 1=0.507,0.16,0.4890738813735692,0.49732620320855614,0.7638603696098563,0.6024291497975709,0.44897937081416406
random,Stylometric LR,4484,961,0=0.493; 1=0.507,0=0.493; 1=0.507,0.45,0.5119667013527576,0.5177165354330708,0.5400410677618069,0.528643216080402,0.5149043918245697
random,Hybrid TF-IDF + Stylometric LR,4484,961,0=0.493; 1=0.507,0=0.493; 1=0.507,1.57,0.5411030176899063,0.5485232067510548,0.5338809034907598,0.5411030176899063,0.5390122076954401
prompt_grouped,TF-IDF Word LR,4078,1212,0=0.491; 1=0.509,0=0.481; 1=0.519,0.12,0.5115511551155115,0.5258741258741259,0.5977742448330684,0.5595238095238095,0.5151837843291783
prompt_grouped,TF-IDF Char LR,4078,1212,0=0.491; 1=0.509,0=0.481; 1=0.519,0.74,0.5297029702970297,0.5329608938547487,0.7583465818759937,0.6259842519685039,0.5234015167422492
prompt_grouped,TF-IDF Word SVM,4078,1212,0=0.491; 1=0.509,0=0.481; 1=0.519,0.17,0.509075907590759,0.5169322709163346,0.8251192368839427,0.6356399265156154,0.5151428797377743
prompt_grouped,Stylometric LR,4078,1212,0=0.491; 1=0.509,0=0.481; 1=0.519,0.45,0.5214521452145214,0.5384615384615384,0.5453100158982512,0.5418641390205371,0.511987772254143
prompt_grouped,Hybrid TF-IDF + Stylometric LR,4078,1212,0=0.491; 1=0.509,0=0.481; 1=0.519,1.58,0.5041254125412541,0.5197183098591549,0.5866454689984102,0.5511575802837939,0.5105970161464057
