epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,val_precision,val_recall,val_roc_auc
1,2.20233364869258,2.2669834416156176,0.5181498829039812,0.5117004680187207,0.636644591611479,0.6313309776207303,0.5114503816793893,0.8246153846153846,0.5098977604673807
2,1.4575695741512023,1.4517273085855928,0.502927400468384,0.5039001560062403,0.5565035695629462,0.5613793103448276,0.50875,0.6261538461538462,0.5170034079844206
3,1.0205083338163625,1.032015755545762,0.5078064012490242,0.5031201248049922,0.49880763116057236,0.49243027888446217,0.5107438016528926,0.4753846153846154,0.5102823758519961
4,1.0673926092879826,1.079996461960534,0.516783762685402,0.5257410296411856,0.64658863831002,0.6533637400228051,0.5190217391304348,0.8815384615384615,0.5097297955209348
5,1.1274578781134459,1.1207893386372494,0.5078064012490242,0.5093603744149766,0.6299882629107981,0.6284701712935618,0.5100671140939598,0.8184615384615385,0.49743670886075947
6,0.8386298989579364,0.8610534025118006,0.5175644028103045,0.5117004680187207,0.5900497512437811,0.5876152832674572,0.5138248847926268,0.6861538461538461,0.5186392405063291
7,0.9390238275656659,0.9397498727447021,0.5191256830601093,0.5109204368174727,0.37934508816120904,0.3711133400200602,0.5331412103746398,0.2846153846153846,0.5263997078870497
8,0.8746554764913544,0.9005743285765465,0.508391881342701,0.4906396255850234,0.34588418592573356,0.3176593521421108,0.495114006514658,0.23384615384615384,0.5072273612463487
9,0.8045091586880189,0.8078975670346067,0.5142466822794691,0.5241809672386896,0.6148847284542782,0.6211180124223602,0.5208333333333334,0.7692307692307693,0.5127312560856865
10,0.8860921654085472,0.9057443337424819,0.516783762685402,0.5039001560062403,0.6484951731970471,0.6402714932126696,0.5062611806797853,0.8707692307692307,0.5160613437195716
11,0.7677303198512133,0.7651875080399372,0.5109289617486339,0.5234009360374415,0.4585133967156439,0.47911338448422847,0.5372848948374761,0.4323076923076923,0.5259469328140214
12,0.7547720969527681,0.7612626217772702,0.5265417642466823,0.5117004680187207,0.5110842402257154,0.5109375,0.5190476190476191,0.5030769230769231,0.5298685491723466
13,0.7611299646984098,0.7677976414014946,0.507416081186573,0.5109204368174727,0.4030274361400189,0.4034253092293054,0.5286783042394015,0.3261538461538461,0.5169449853943524
14,0.7392067298474697,0.7450591934440404,0.5265417642466823,0.516380655226209,0.45311091073038773,0.45709281961471104,0.5304878048780488,0.4015384615384615,0.5250194741966894
15,0.7922158769624281,0.7954754021638959,0.5206869633099142,0.5265210608424337,0.4018509498295178,0.43534883720930234,0.5505882352941176,0.36,0.5284371957156768
16,0.7526871858588156,0.7678816980943006,0.5120999219359875,0.514820592823713,0.2546213476446035,0.23774509803921567,0.5843373493975904,0.14923076923076922,0.5110856864654334
17,0.7475379806439472,0.7789256624693397,0.5171740827478533,0.4734789391575663,0.48307563727538655,0.4351464435146444,0.47706422018348627,0.4,0.4869766309639727
18,0.8071206634188057,0.8110906915531483,0.5113192818110851,0.5117004680187207,0.6700052714812862,0.6694825765575502,0.5096463022508039,0.9753846153846154,0.529228334956183
19,0.7674142791462731,0.775476502931299,0.5144418423106948,0.5187207488299532,0.6242826940501359,0.627190332326284,0.5164179104477612,0.7984615384615384,0.5111976630963972
20,0.7011206116446508,0.7131129784432525,0.5337626854020296,0.517160686427457,0.48121606948968515,0.46683893195521103,0.5303326810176126,0.4169230769230769,0.5197517039922104
21,0.7190180559169785,0.7264703729960736,0.5288836846213896,0.5202808112324493,0.5559234731420162,0.5520757465404225,0.5242047026279392,0.583076923076923,0.5242405063291139
22,0.71820079907204,0.7311689903822864,0.5259562841530054,0.5273010920436817,0.599373247567211,0.6039215686274509,0.525,0.7107692307692308,0.5203967867575463
23,0.6963675039272468,0.7040287877345403,0.546448087431694,0.517160686427457,0.6133111480865224,0.5919578114700066,0.5178777393310265,0.6907692307692308,0.5359712755598832
24,0.7150916569680548,0.7277225489941587,0.537080405932865,0.5085803432137286,0.6277463904582549,0.6027742749054225,0.5106837606837606,0.7353846153846154,0.520968841285297
25,0.719591742830034,0.7250537386179107,0.5253708040593287,0.5202808112324493,0.37092602172788414,0.3587069864442127,0.5566343042071198,0.26461538461538464,0.5368841285296981
