split,model,train_size,test_size,accuracy,precision,recall,f1,macro_f1,roc_auc
random,RAID TF-IDF Word LR,700,150,0.9333333333333333,0.9452054794520548,0.92,0.9324324324324325,0.9333214793741109,0.9818666666666667
random,RAID TF-IDF Char LR,700,150,0.88,0.8607594936708861,0.9066666666666666,0.8831168831168831,0.8799146059420031,0.9582222222222223
random,RAID TF-IDF Word SVM,700,150,0.98,0.9864864864864865,0.9733333333333334,0.9798657718120806,0.9799991110716032,0.9893333333333334
source_grouped,RAID TF-IDF Word LR,621,223,0.9237668161434978,0.9649122807017544,0.8943089430894309,0.9282700421940928,0.9234651646377163,0.9827642276422763
source_grouped,RAID TF-IDF Char LR,621,223,0.9013452914798207,0.9391304347826087,0.8780487804878049,0.907563025210084,0.9008968972204267,0.9613008130081301
source_grouped,RAID TF-IDF Word SVM,621,223,0.9641255605381166,0.9914529914529915,0.943089430894309,0.9666666666666667,0.9639158576051781,0.9931707317073171
holdout_model_llama-chat,RAID TF-IDF Word LR,560,800,0.69125,1.0,0.17666666666666667,0.3002832861189802,0.5511039526023931,0.9645466666666667
holdout_model_llama-chat,RAID TF-IDF Char LR,560,800,0.70625,0.922077922077922,0.23666666666666666,0.376657824933687,0.5922536876099342,0.9104666666666668
holdout_model_llama-chat,RAID TF-IDF Word SVM,560,800,0.68375,1.0,0.15666666666666668,0.27089337175792505,0.5344889843626017,0.9472666666666666
